,SchoolYear,OrganizationLevel,DistrictName,StudentGroupType,StudentGroup,Domain,PreparedForK_Percent
36,2019-20,State,State Total,FederalRaceEthnicity,Asian,Language,0.7570
37,2019-20,State,State Total,FederalRaceEthnicity,Asian,Literacy,0.8840
38,2019-20,State,State Total,FederalRaceEthnicity,Asian,Math,0.8300
39,2019-20,State,State Total,FederalRaceEthnicity,Asian,NumberofDomains,
40,2019-20,State,State Total,FederalRaceEthnicity,Asian,Spanish Language,
41,2019-20,State,State Total,FederalRaceEthnicity,Asian,Spanish Literacy,
42,2019-20,State,State Total,FederalRaceEthnicity,Asian,Physical,0.9070
43,2019-20,State,State Total,FederalRaceEthnicity,Asian,SocialEmotional,0.8430
44,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Cognitive,0.6820
45,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Language,0.7080
46,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Literacy,0.7600
47,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Math,0.6460
48,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,NumberofDomains,
49,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Physical,0.8410
50,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,SocialEmotional,0.7090
51,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Spanish Language,
52,2019-20,State,State Total,FederalRaceEthnicity,Black/ African American,Spanish Literacy,
53,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Cognitive,0.6540
54,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Language,0.6490
55,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Literacy,0.6520
56,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Math,0.5040
57,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),NumberofDomains,
58,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Spanish Language,
59,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Spanish Literacy,
60,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Physical,0.8180
61,2019-20,State,State Total,FederalRaceEthnicity,Hispanic/ Latino of any race(s),SocialEmotional,0.7460
62,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Cognitive,0.6120
63,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Language,0.6350
64,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Literacy,0.5800
65,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Math,0.4780
66,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,NumberofDomains,
67,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Physical,0.8130
68,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,SocialEmotional,0.7380
69,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Spanish Literacy,
70,2019-20,State,State Total,FederalRaceEthnicity,Native Hawaiian/ Other Pacific Islander,Spanish Language,
71,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Cognitive,0.7770
72,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Language,0.7910
73,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Literacy,0.8260
74,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Math,0.7270
75,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,NumberofDomains,
76,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Spanish Language,
77,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Spanish Literacy,
78,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,Physical,0.8720
79,2019-20,State,State Total,FederalRaceEthnicity,Two or More Races,SocialEmotional,0.7940
80,2019-20,State,State Total,FederalRaceEthnicity,White,Cognitive,0.8010
81,2019-20,State,State Total,FederalRaceEthnicity,White,Language,0.8040
82,2019-20,State,State Total,FederalRaceEthnicity,White,Literacy,0.8410
83,2019-20,State,State Total,FederalRaceEthnicity,White,Math,0.7450
84,2019-20,State,State Total,FederalRaceEthnicity,White,NumberofDomains,
85,2019-20,State,State Total,FederalRaceEthnicity,White,Spanish Language,
86,2019-20,State,State Total,FederalRaceEthnicity,White,Spanish Literacy,
87,2019-20,State,State Total,FederalRaceEthnicity,White,Physical,0.8760
88,2019-20,State,State Total,FederalRaceEthnicity,White,SocialEmotional,0.8120
89,2019-20,State,State Total,FreeLunch,Low-Income,Cognitive,0.6500
90,2019-20,State,State Total,FreeLunch,Low-Income,Language,0.6580
91,2019-20,State,State Total,FreeLunch,Low-Income,Literacy,0.6630
92,2019-20,State,State Total,FreeLunch,Low-Income,Math,0.5270
93,2019-20,State,State Total,FreeLunch,Low-Income,NumberofDomains,
94,2019-20,State,State Total,FreeLunch,Low-Income,Spanish Language,
95,2019-20,State,State Total,FreeLunch,Low-Income,Spanish Literacy,
96,2019-20,State,State Total,FreeLunch,Low-Income,Physical,0.8180
97,2019-20,State,State Total,FreeLunch,Low-Income,SocialEmotional,0.7170
98,2019-20,State,State Total,FreeLunch,Non-Low Income,Cognitive,0.8230
99,2019-20,State,State Total,FreeLunch,Non-Low Income,Language,0.8170
100,2019-20,State,State Total,FreeLunch,Non-Low Income,Literacy,0.8720
101,2019-20,State,State Total,FreeLunch,Non-Low Income,Math,0.7820
102,2019-20,State,State Total,FreeLunch,Non-Low Income,NumberofDomains,
103,2019-20,State,State Total,FreeLunch,Non-Low Income,Spanish Language,
104,2019-20,State,State Total,FreeLunch,Non-Low Income,Spanish Literacy,
105,2019-20,State,State Total,FreeLunch,Non-Low Income,Physical,0.8890
106,2019-20,State,State Total,FreeLunch,Non-Low Income,SocialEmotional,0.8380
107,2019-20,State,State Total,Gender,Female,Cognitive,0.8020
108,2019-20,State,State Total,Gender,Female,Language,0.8040
109,2019-20,State,State Total,Gender,Female,Literacy,0.8180
110,2019-20,State,State Total,Gender,Female,Math,0.6840
111,2019-20,State,State Total,Gender,Female,NumberofDomains,
112,2019-20,State,State Total,Gender,Female,Spanish Language,
113,2019-20,State,State Total,Gender,Female,Spanish Literacy,
114,2019-20,State,State Total,Gender,Female,Physical,0.9020
115,2019-20,State,State Total,Gender,Female,SocialEmotional,0.8510
116,2019-20,State,State Total,Gender,Gender X,Cognitive,0.8730
117,2019-20,State,State Total,Gender,Gender X,Language,0.7940
118,2019-20,State,State Total,Gender,Gender X,Literacy,0.8100
119,2019-20,State,State Total,Gender,Gender X,Math,0.6350
120,2019-20,State,State Total,Gender,Gender X,NumberofDomains,
121,2019-20,State,State Total,Gender,Gender X,Physical,0.9370
122,2019-20,State,State Total,Gender,Gender X,SocialEmotional,0.8410
123,2019-20,State,State Total,Gender,Male,Cognitive,0.7110
124,2019-20,State,State Total,Gender,Male,Language,0.7090
125,2019-20,State,State Total,Gender,Male,Literacy,0.7640
126,2019-20,State,State Total,Gender,Male,Math,0.6810
127,2019-20,State,State Total,Gender,Male,NumberofDomains,
128,2019-20,State,State Total,Gender,Male,Spanish Language,
129,2019-20,State,State Total,Gender,Male,Spanish Literacy,
130,2019-20,State,State Total,Gender,Male,Physical,0.8220
131,2019-20,State,State Total,Gender,Male,SocialEmotional,0.7330
132,2019-20,State,State Total,isHomeless,Homeless,Cognitive,0.6050
133,2019-20,State,State Total,isHomeless,Homeless,Language,0.6180
134,2019-20,State,State Total,isHomeless,Homeless,Literacy,0.5870
135,2019-20,State,State Total,isHomeless,Homeless,Math,0.4640
136,2019-20,State,State Total,isHomeless,Homeless,NumberofDomains,
137,2019-20,State,State Total,isHomeless,Homeless,Spanish Language,
138,2019-20,State,State Total,isHomeless,Homeless,Spanish Literacy,
139,2019-20,State,State Total,isHomeless,Homeless,Physical,0.8010
140,2019-20,State,State Total,isHomeless,Homeless,SocialEmotional,0.6700
141,2019-20,State,State Total,isHomeless,Non-Homeless,Cognitive,0.7580
142,2019-20,State,State Total,isHomeless,Non-Homeless,Language,0.7580
143,2019-20,State,State Total,isHomeless,Non-Homeless,Literacy,0.7950
144,2019-20,State,State Total,isHomeless,Non-Homeless,Math,0.6870
145,2019-20,State,State Total,isHomeless,Non-Homeless,NumberofDomains,
146,2019-20,State,State Total,isHomeless,Non-Homeless,Spanish Language,
147,2019-20,State,State Total,isHomeless,Non-Homeless,Spanish Literacy,
148,2019-20,State,State Total,isHomeless,Non-Homeless,Physical,0.8620
149,2019-20,State,State Total,isHomeless,Non-Homeless,SocialEmotional,0.7930
150,2019-20,State,State Total,isMigrant,Migrant,Cognitive,0.5540
151,2019-20,State,State Total,isMigrant,Migrant,Language,0.4970
152,2019-20,State,State Total,isMigrant,Migrant,Literacy,0.5330
153,2019-20,State,State Total,isMigrant,Migrant,Math,0.3370
154,2019-20,State,State Total,isMigrant,Migrant,NumberofDomains,
155,2019-20,State,State Total,isMigrant,Migrant,Spanish Language,
156,2019-20,State,State Total,isMigrant,Migrant,Spanish Literacy,
157,2019-20,State,State Total,isMigrant,Migrant,Physical,0.7510
158,2019-20,State,State Total,isMigrant,Migrant,SocialEmotional,0.6740
159,2019-20,State,State Total,isMigrant,Non Migrant,Cognitive,0.7570
160,2019-20,State,State Total,isMigrant,Non Migrant,Language,0.7580
161,2019-20,State,State Total,isMigrant,Non Migrant,Literacy,0.7930
162,2019-20,State,State Total,isMigrant,Non Migrant,Math,0.6870
163,2019-20,State,State Total,isMigrant,Non Migrant,NumberofDomains,
164,2019-20,State,State Total,isMigrant,Non Migrant,Spanish Language,
165,2019-20,State,State Total,isMigrant,Non Migrant,Spanish Literacy,
166,2019-20,School,Adna School District,FreeLunch,Low-Income,Math,
167,2019-20,State,State Total,isMigrant,Non Migrant,Physical,0.8620
168,2019-20,State,State Total,isMigrant,Non Migrant,SocialEmotional,0.7920
169,2019-20,State,State Total,SpecialEd,Students with Disabilities,Cognitive,0.4800
170,2019-20,State,State Total,SpecialEd,Students with Disabilities,Language,0.4240
171,2019-20,State,State Total,SpecialEd,Students with Disabilities,Literacy,0.6070
172,2019-20,State,State Total,SpecialEd,Students with Disabilities,Math,0.4800
173,2019-20,State,State Total,SpecialEd,Students with Disabilities,NumberofDomains,
174,2019-20,State,State Total,SpecialEd,Students with Disabilities,Spanish Language,
175,2019-20,State,State Total,SpecialEd,Students with Disabilities,Spanish Literacy,
176,2019-20,State,State Total,SpecialEd,Students with Disabilities,Physical,0.6550
177,2019-20,State,State Total,SpecialEd,Students with Disabilities,SocialEmotional,0.4900
178,2019-20,State,State Total,SpecialEd,Students without Disabilities,Cognitive,0.7830
179,2019-20,State,State Total,SpecialEd,Students without Disabilities,Language,0.7890
180,2019-20,State,State Total,SpecialEd,Students without Disabilities,Literacy,0.8090
181,2019-20,State,State Total,SpecialEd,Students without Disabilities,Math,0.7030
182,2019-20,State,State Total,SpecialEd,Students without Disabilities,NumberofDomains,
183,2019-20,State,State Total,SpecialEd,Students without Disabilities,Spanish Language,
184,2019-20,State,State Total,SpecialEd,Students without Disabilities,Spanish Literacy,
185,2019-20,State,State Total,SpecialEd,Students without Disabilities,Physical,0.8820
186,2019-20,State,State Total,SpecialEd,Students without Disabilities,SocialEmotional,0.8210
187,2019-20,School,Aberdeen School District,All,All Students,Cognitive,0.8870
188,2019-20,School,Aberdeen School District,All,All Students,Language,0.7920
189,2019-20,School,Aberdeen School District,All,All Students,Literacy,0.6790
190,2019-20,School,Aberdeen School District,All,All Students,Math,0.6790
191,2019-20,School,Aberdeen School District,All,All Students,NumberofDomains,
192,2019-20,School,Aberdeen School District,All,All Students,Physical,0.9430
193,2019-20,School,Aberdeen School District,All,All Students,SocialEmotional,0.8870
194,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Cognitive,0.7000
195,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Language,0.6000
196,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Literacy,0.5000
197,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Math,0.6000
198,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,NumberofDomains,
199,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Physical,1.0000
200,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,SocialEmotional,1.0000
201,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Cognitive,0.9300
202,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Language,0.8370
203,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Literacy,0.7210
204,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Math,0.6980
205,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,NumberofDomains,
206,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Physical,0.9300
207,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,SocialEmotional,0.8600
208,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Cognitive,
209,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Language,
210,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Literacy,
211,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Math,
212,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,NumberofDomains,
213,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Physical,
214,2019-20,School,Aberdeen School District,FederalRaceEthnicity,American Indian/ Alaskan Native,SocialEmotional,
215,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Cognitive,0.8500
216,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Language,0.7500
217,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Literacy,0.6500
218,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Math,0.6500
219,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),NumberofDomains,
220,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Physical,1.0000
221,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),SocialEmotional,0.9500
222,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Cognitive,
223,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Language,
224,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Literacy,
225,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Math,
226,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,NumberofDomains,
227,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Physical,
228,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,SocialEmotional,
229,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Cognitive,0.9200
230,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Language,0.8000
231,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Literacy,0.7200
232,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Math,0.7200
233,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,NumberofDomains,
234,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Physical,0.8800
235,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,SocialEmotional,0.8000
236,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Cognitive,0.8700
237,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Language,0.7610
238,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Literacy,0.6520
239,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Math,0.6300
240,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,NumberofDomains,
241,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Physical,0.9350
242,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,SocialEmotional,0.8700
243,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,Cognitive,
244,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,Language,
245,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,Literacy,
246,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,Math,
247,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,NumberofDomains,
248,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,Physical,
249,2019-20,School,Aberdeen School District,FreeLunch,Non-Low Income,SocialEmotional,
250,2019-20,School,Aberdeen School District,Gender,Female,Cognitive,0.8930
251,2019-20,School,Aberdeen School District,Gender,Female,Language,0.7500
252,2019-20,School,Aberdeen School District,Gender,Female,Literacy,0.7140
253,2019-20,School,Aberdeen School District,Gender,Female,Math,0.6430
254,2019-20,School,Aberdeen School District,Gender,Female,NumberofDomains,
255,2019-20,School,Aberdeen School District,Gender,Female,Physical,0.8930
256,2019-20,School,Aberdeen School District,Gender,Female,SocialEmotional,0.8570
257,2019-20,School,Boistfort School District,isMigrant,Non Migrant,Language,
258,2019-20,School,Aberdeen School District,Gender,Male,Cognitive,0.8800
259,2019-20,School,Aberdeen School District,Gender,Male,Language,0.8400
260,2019-20,School,Aberdeen School District,Gender,Male,Literacy,0.6400
261,2019-20,School,Aberdeen School District,Gender,Male,Math,0.7200
262,2019-20,School,Aberdeen School District,Gender,Male,NumberofDomains,
263,2019-20,School,Aberdeen School District,Gender,Male,Physical,1.0000
264,2019-20,School,Aberdeen School District,Gender,Male,SocialEmotional,0.9200
265,2019-20,School,Aberdeen School District,isHomeless,Homeless,Cognitive,
266,2019-20,School,Aberdeen School District,isHomeless,Homeless,Language,
267,2019-20,School,Aberdeen School District,isHomeless,Homeless,Literacy,
268,2019-20,School,Aberdeen School District,isHomeless,Homeless,Math,
269,2019-20,School,Aberdeen School District,isHomeless,Homeless,NumberofDomains,
270,2019-20,School,Aberdeen School District,isHomeless,Homeless,Physical,
271,2019-20,School,Aberdeen School District,isHomeless,Homeless,SocialEmotional,
272,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,Cognitive,0.9000
273,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,Language,0.8200
274,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,Literacy,0.7200
275,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,Math,0.7200
276,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,NumberofDomains,
277,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,Physical,0.9400
278,2019-20,School,Aberdeen School District,isHomeless,Non-Homeless,SocialEmotional,0.9000
279,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,Cognitive,0.8870
280,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,Language,0.7920
281,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,Literacy,0.6790
282,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,Math,0.6790
283,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,NumberofDomains,
284,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,Physical,0.9430
285,2019-20,School,Aberdeen School District,isMigrant,Non Migrant,SocialEmotional,0.8870
286,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,Cognitive,0.5000
287,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,Language,0.2000
288,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,Literacy,0.3000
289,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,Math,0.3000
290,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,NumberofDomains,
291,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,Physical,0.7000
292,2019-20,School,Aberdeen School District,SpecialEd,Students with Disabilities,SocialEmotional,0.8000
293,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,Cognitive,0.9770
294,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,Language,0.9300
295,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,Literacy,0.7670
296,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,Math,0.7670
297,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,NumberofDomains,
298,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,Physical,1.0000
299,2019-20,School,Aberdeen School District,SpecialEd,Students without Disabilities,SocialEmotional,0.9070
300,2019-20,School,Aberdeen School District,All,All Students,Cognitive,0.9090
301,2019-20,School,Aberdeen School District,All,All Students,Language,0.8180
302,2019-20,School,Aberdeen School District,All,All Students,Literacy,0.8640
303,2019-20,School,Aberdeen School District,All,All Students,Math,0.6820
304,2019-20,School,Aberdeen School District,All,All Students,NumberofDomains,
305,2019-20,School,Aberdeen School District,All,All Students,Physical,0.9550
306,2019-20,School,Aberdeen School District,All,All Students,SocialEmotional,0.7270
307,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Cognitive,
308,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Language,
309,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Literacy,
310,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Math,
311,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,NumberofDomains,
312,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,Physical,
313,2019-20,School,Aberdeen School District,Bilingual,English Language Learners,SocialEmotional,
314,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Cognitive,0.9000
315,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Language,0.8500
316,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Literacy,0.9000
317,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Math,0.7500
318,2019-20,School,Boistfort School District,isMigrant,Non Migrant,Literacy,
319,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,NumberofDomains,
320,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,Physical,0.9500
321,2019-20,School,Aberdeen School District,Bilingual,Non-English Language Learners,SocialEmotional,0.7500
322,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Cognitive,
323,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Language,
324,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Literacy,
325,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Math,
326,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),NumberofDomains,
327,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Physical,
328,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),SocialEmotional,
329,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Cognitive,
330,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Language,
331,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Literacy,
332,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Math,
333,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,NumberofDomains,
334,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,Physical,
335,2019-20,School,Aberdeen School District,FederalRaceEthnicity,Two or More Races,SocialEmotional,
336,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Cognitive,0.9330
337,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Language,0.8000
338,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Literacy,0.9330
339,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Math,0.8000
340,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,NumberofDomains,
341,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,Physical,0.9330
342,2019-20,School,Aberdeen School District,FederalRaceEthnicity,White,SocialEmotional,0.7330
343,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Cognitive,0.8670
344,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Language,0.8000
345,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Literacy,0.8670
346,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Math,0.6000
347,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,NumberofDomains,
348,2019-20,School,Boistfort School District,isMigrant,Non Migrant,Math,
349,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,Physical,1.0000
350,2019-20,School,Aberdeen School District,FreeLunch,Low-Income,SocialEmotional,0.6670
